Date,Ticker,Price
2025-12-24,VAS.AX,109.38
2025-12-24,VGS.AX,153.92
2025-12-24,NDQ.AX,56.18
2025-12-29,VAS.AX,108.92
2025-12-29,VGS.AX,153.96
2025-12-29,NDQ.AX,56.16
2025-12-30,VAS.AX,108.99
2025-12-30,VGS.AX,153.87
2025-12-30,NDQ.AX,56.07
2025-12-31,VAS.AX,108.9
2025-12-31,VGS.AX,153.85
2025-12-31,NDQ.AX,55.94
2026-01-02,VAS.AX,108.26
2026-01-02,VGS.AX,153.21
2026-01-02,NDQ.AX,55.97
2026-01-05,VAS.AX,108.29
2026-01-05,VGS.AX,154.0
2026-01-05,NDQ.AX,55.87
2026-01-06,VAS.AX,107.65
2026-01-06,VGS.AX,154.0
2026-01-06,NDQ.AX,55.77
2026-01-07,VAS.AX,107.91
2026-01-07,VGS.AX,153.74
2026-01-07,NDQ.AX,55.83
2026-01-08,VAS.AX,108.21
2026-01-08,VGS.AX,154.26
2026-01-08,NDQ.AX,56.3
2026-01-09,VAS.AX,108.13
2026-01-09,VGS.AX,154.59
2026-01-09,NDQ.AX,56.14
2026-01-12,VAS.AX,108.68
2026-01-12,VGS.AX,155.05
2026-01-12,NDQ.AX,56.25
2026-01-13,VAS.AX,109.26
2026-01-13,VGS.AX,155.54
2026-01-13,NDQ.AX,56.47
2026-01-14,VAS.AX,109.44
2026-01-14,VGS.AX,155.57
2026-01-14,NDQ.AX,56.56
2026-01-15,VAS.AX,109.92
2026-01-15,VGS.AX,155.77
2026-01-15,NDQ.AX,56.19
2026-01-16,VAS.AX,110.5
2026-01-16,VGS.AX,155.81
2026-01-16,NDQ.AX,56.37
2026-01-19,VAS.AX,110.02
2026-01-19,VGS.AX,154.43
2026-01-19,NDQ.AX,55.55
2026-01-20,VAS.AX,109.32
2026-01-20,VGS.AX,153.1
2026-01-20,NDQ.AX,55.18
2026-01-21,VAS.AX,108.92
2026-01-21,VGS.AX,152.19
2026-01-21,NDQ.AX,54.85
2026-01-22,VAS.AX,109.81
2026-01-22,VGS.AX,152.19
2026-01-22,NDQ.AX,55.07
2026-01-23,VAS.AX,109.98
2026-01-23,VGS.AX,151.74
2026-01-23,NDQ.AX,54.99
2026-01-27,VAS.AX,110.87
2026-01-27,VGS.AX,151.6
2026-01-27,NDQ.AX,55.11
2026-01-28,VAS.AX,110.83
2026-01-28,VGS.AX,150.78
2026-01-28,NDQ.AX,55.0
2026-01-29,VAS.AX,110.64
2026-01-29,VGS.AX,148.43
2026-01-29,NDQ.AX,54.23
2026-01-30,VAS.AX,109.92
2026-01-30,VGS.AX,149.28
2026-01-30,NDQ.AX,54.18
2026-02-03,VAS.AX,109.7
2026-02-03,VGS.AX,150.08
2026-02-03,NDQ.AX,54.37
2026-02-04,VAS.AX,110.5
2026-02-04,VGS.AX,148.42
2026-02-04,NDQ.AX,53.1
2026-02-05,VAS.AX,110.11
2026-02-05,VGS.AX,148.8
2026-02-05,NDQ.AX,52.64
2026-02-06,VAS.AX,107.67
2026-02-06,VGS.AX,147.2
2026-02-06,NDQ.AX,51.68
2026-02-09,VAS.AX,109.79
2026-02-09,VGS.AX,149.09
2026-02-09,NDQ.AX,52.66
2026-02-10,VAS.AX,109.96
2026-02-10,VGS.AX,149.09
2026-02-10,NDQ.AX,52.61
2026-02-11,VAS.AX,111.55
2026-02-11,VGS.AX,148.62
2026-02-11,NDQ.AX,52.27
2026-02-12,VAS.AX,111.8
2026-02-12,VGS.AX,148.55
2026-02-12,NDQ.AX,52.29
2026-02-13,VAS.AX,110.28
2026-02-13,VGS.AX,146.74
2026-02-13,NDQ.AX,51.36
2026-02-16,VAS.AX,110.5
2026-02-16,VGS.AX,146.87
2026-02-16,NDQ.AX,51.47
2026-02-17,VAS.AX,110.82
2026-02-17,VGS.AX,146.34
2026-02-17,NDQ.AX,51.19
2026-02-18,VAS.AX,111.57
2026-02-18,VGS.AX,147.43
2026-02-18,NDQ.AX,51.6
2026-02-19,VAS.AX,112.57
2026-02-19,VGS.AX,148.49
2026-02-19,NDQ.AX,52.03
2026-02-20,VAS.AX,112.5
2026-02-20,VGS.AX,148.52
2026-02-20,NDQ.AX,52.09
2026-02-23,VAS.AX,111.8
2026-02-23,VGS.AX,147.62
2026-02-23,NDQ.AX,51.63
2026-02-24,VAS.AX,111.94
2026-02-24,VGS.AX,147.79
2026-02-24,NDQ.AX,51.8
2026-02-25,VAS.AX,113.13
2026-02-25,VGS.AX,147.65
2026-02-25,NDQ.AX,51.86
2026-02-26,VAS.AX,113.92
2026-02-26,VGS.AX,148.09
2026-02-26,NDQ.AX,52.21
